Time,Qeav,BOD5eav,TCODeav,TSSeav,SALKeav,TNeav,SNHeav,SNOeav,TKNeav,Tempeav
33,17544.0852295142,12.2566527973529,2.51143379283591,50.9863785567087,13.9639309017419,4.73971212978777,10.029542776108,0.23787437235918,7.95786881655718,2.07167395955086
34,14777.9723021623,12.1873847551261,2.29106833422702,47.8605711826371,12.8484045955357,4.50984784664568,11.099347667349,0.222586431155976,9.17233116081363,1.92701650653533
35,20715.1682078118,12.0796095950543,2.68513497803506,50.3966712082652,15.2025734967456,4.50704503522826,11.5408516516874,0.312582820216667,9.28127135149041,2.25958030019696
36,20098.7575702943,12.0241956117708,2.68712468757182,50.5188160548137,15.1268702800284,4.32207920902749,13.6273899011078,0.607300780454475,11.066047168864,2.56134273224381
37,21397.1060196844,11.9541383334825,2.78242216009874,52.3932227332551,15.6271123571408,4.11514889347671,15.5512661493071,0.895059249959469,12.6535730659156,2.89769308339159
38,22138.7006156609,11.885210304392,2.86734872070588,53.2600369429242,16.0416832273802,4.25514493194507,13.5351201860729,0.462134783013059,11.045121735997,2.48999845007594
39,23087.9790792578,11.8245634947452,3.01068323322907,54.5131893211097,16.7231655622801,4.65545985125919,12.0659142414231,0.797043654355608,9.14315556764824,2.9227586737749
40,33473.9046188711,11.6935802430733,3.6345202810468,48.2520897558174,20.2957729387241,5.19388677381923,11.5790367157973,0.761770411669656,8.36323696082651,3.21579975497082
41,25738.7212694342,11.640349635808,3.06110066044215,43.2935354684535,17.1282200898155,4.8905294488106,14.6962713647568,0.785967898494944,11.7814143300002,2.91485703475665
42,21375.8285704714,11.6093385925492,2.76551828396647,46.1230713788995,15.4263826025044,4.54729518179424,15.629761476965,0.592132127370064,13.0693838494974,2.5603776274676
43,20347.403850064,11.5687089579128,2.76429352559162,50.8779933164236,15.3169880469309,4.56648010077709,11.7668516341589,0.37579139761429,9.42045799600996,2.34639363814892
44,20339.1904693976,11.4977064014226,2.82201704491316,52.7411083368044,15.5845435934811,4.64689752030179,11.6051272376138,0.700665073269515,8.88551945745781,2.71960778015597
45,26516.1739511215,11.3807552361599,3.26966004992466,50.5887810491102,18.0640224582953,4.49824222592206,14.6877535298557,1.38330243027669,11.0305792734981,3.65717425635761
46,20188.92903295,11.377961215733,2.76279940426412,46.1571478505942,15.1226034212958,4.45345838199364,14.3784414277456,0.608280472752786,11.8318051094336,2.54663631831204
47,17716.5268672181,11.3212016873771,2.70749268997966,48.6684122124975,14.8672884277646,4.29823723140228,12.6624389697194,0.347042960889161,10.4133297465617,2.24910922315765
48,18914.025597462,11.2748067528938,2.65428015399334,49.8740645125619,14.7315312186012,4.25584801689539,15.0572599266044,0.555666095098329,12.6116885192385,2.44557140736593
49,20860.86713953,11.1995536618299,2.79722973713362,53.2343513023408,15.5708021956029,4.19481547087614,16.5059119501128,0.687863196200369,13.841321957128,2.66458999298473
